5
1,80,2,1,12,0,0
2,77,2,1,4,0,0
3,58,1,1,6,1,0
4,58,1,1,11,5,0
5,2,12,0,21,18,0
6,70,3,1,10,4,0
7,50,0,1,2,5,0
8,2,3,0,15,11,0
9,66,2,1,3,2,0
10,3,40,0,18,18,0
11,43,3,1,7,3,0
12,4,19,0,11,19,0
13,0,37,0,13,0,0
14,1,22,0,11,7,0
15,80,1,1,20,4,0
16,67,1,1,6,4,0
17,41,3,1,10,1,0
18,1,35,0,21,15,0
19,72,0,1,17,4,0
20,0,27,0,20,6,0
21,4,31,0,11,2,0
22,0,1,0,13,17,0
23,2,4,0,11,0,0
24,2,22,0,17,7,0
25,1,35,0,21,13,0
26,0,8,0,21,1,0
27,2,24,0,21,1,0
28,58,3,1,15,5,0
29,2,31,0,13,12,0
30,2,17,0,12,11,0
31,0,3,0,13,18,0
32,0,31,0,21,5,0
33,1,7,0,15,10,0
34,48,1,1,11,4,0
35,3,5,0,20,3,0
36,54,3,1,22,4,0
37,2,13,0,20,14,0
38,2,21,0,21,16,0
39,4,14,0,13,8,0
40,3,29,0,15,1,0
41,48,4,1,8,2,0
42,73,0,1,16,1,0
43,68,0,1,13,5,0
44,1,31,0,15,17,0
45,68,3,1,17,4,0
46,2,9,0,21,7,0
47,2,28,0,21,2,0
48,67,4,1,23,2,0
49,66,4,1,7,0,0
50,62,0,1,8,1,0
51,2,22,0,17,16,0
52,2,7,0,17,4,0
53,3,13,0,17,14,0
54,44,1,1,22,0,0
55,73,0,1,2,2,0
56,47,0,1,23,3,0
57,1,13,0,15,18,0
58,41,1,1,8,4,0
59,41,2,1,8,3,0
60,45,4,1,14,0,0
61,51,1,1,24,1,0
62,1,15,0,12,14,0
63,0,21,0,12,14,0
64,2,18,0,12,14,0
65,2,8,0,20,15,0
66,0,1,0,17,6,0
67,2,15,0,20,12,0
68,54,3,1,6,5,0
69,52,1,1,5,0,0
70,61,2,1,6,4,0
71,0,13,0,17,11,0
72,79,3,1,18,2,0
73,77,3,1,14,5,0
74,4,37,0,19,3,0
75,2,9,0,17,0,0
76,67,3,1,23,4,0
77,47,4,1,19,1,0
78,65,4,1,9,3,0
79,3,36,0,20,18,0
80,0,40,0,17,8,0
81,2,9,0,17,2,0
82,2,8,0,19,12,0
83,1,19,0,15,10,0
84,4,38,0,21,3,0
85,46,0,1,11,3,0
86,77,2,1,10,5,0
87,4,27,0,12,16,0
88,2,22,0,21,5,0
89,79,4,1,23,2,0
90,51,0,1,21,3,0
91,1,7,0,15,18,0
92,61,4,1,21,3,0
93,47,3,1,19,3,0
94,3,7,0,21,14,0
95,3,22,0,21,9,0
96,3,32,0,11,1,0
97,69,1,1,15,0,0
