4
1,46,3,1,1,5,0
1,67,3,1,0,5,1
2,48,2,1,1,4,0
2,43,2,1,1,5,0
3,64,0,1,0,5,1
3,43,0,1,0,4,0
4,63,0,1,0,1,1
4,59,0,1,0,2,0
5,63,3,1,0,1,0
5,41,3,1,0,1,0
6,46,1,1,0,0,0
6,73,1,1,0,1,1
7,70,1,1,1,3,0
7,69,1,1,1,1,1
8,44,1,1,0,5,1
8,55,1,1,1,5,1
9,63,1,1,0,3,1
9,59,1,1,1,1,1
10,57,2,1,1,1,1
10,70,2,1,0,0,1
11,73,3,1,1,5,1
11,70,3,1,0,4,0
12,68,0,1,1,0,0
12,45,0,1,0,2,1
13,70,3,1,1,4,0
13,69,3,1,0,2,0
14,42,0,1,1,5,1
14,43,0,1,1,2,1
15,63,2,1,0,5,0
15,46,2,1,1,5,1
16,53,3,1,1,4,1
16,74,3,1,0,1,1
17,51,0,1,0,3,0
17,76,0,1,0,1,1
18,65,3,1,1,0,0
18,52,3,1,0,5,1
19,50,0,1,0,1,1
19,66,0,1,0,0,1
20,49,3,1,1,5,0
20,57,3,1,1,2,0
21,60,0,1,1,3,0
21,46,0,1,1,4,1
22,54,1,1,0,5,0
22,46,1,1,1,5,1
23,48,1,1,1,4,1
23,63,1,1,0,0,0
24,47,0,1,0,5,1
24,79,0,1,1,1,1
25,68,3,1,1,3,1
25,63,3,1,1,5,1
26,58,3,1,1,2,0
26,47,3,1,0,2,0
27,50,2,1,1,1,0
27,59,2,1,1,5,1
28,45,0,1,1,2,1
28,74,0,1,1,4,1
29,41,1,1,0,0,1
29,62,1,1,0,1,1
30,45,0,1,1,0,0
30,74,0,1,1,0,0
31,63,0,1,1,1,0
31,54,0,1,1,5,0
32,56,3,1,0,2,1
32,46,3,1,1,2,0
33,41,2,1,0,0,1
33,63,2,1,1,3,0
34,58,1,1,0,4,1
34,61,1,1,0,1,1
35,51,2,1,1,1,1
35,71,2,1,1,1,1
36,70,2,1,0,2,0
36,77,2,1,1,4,0
37,71,2,1,0,0,0
37,52,2,1,0,1,0
38,70,3,1,1,4,1
38,48,3,1,1,2,1
39,65,0,1,1,5,0
39,52,0,1,0,0,1
40,74,2,1,0,1,1
40,73,2,1,1,3,0
41,55,1,1,0,1,1
41,60,1,1,1,0,1
42,71,1,1,1,4,0
42,43,1,1,0,1,0
43,42,1,1,1,4,0
43,65,1,1,0,5,0
44,62,1,1,0,0,1
44,49,1,1,1,4,1
45,43,2,1,1,0,0
45,69,2,1,1,2,0
46,49,1,1,1,5,0
46,61,1,1,0,4,0
47,64,1,1,0,1,1
47,72,1,1,1,0,1
48,55,2,1,0,3,1
48,61,2,1,1,1,0
49,65,0,1,0,5,0
49,53,0,1,1,1,1
50,75,3,1,1,3,0
50,60,3,1,1,3,0
51,67,2,1,1,4,0
51,49,2,1,0,2,1
52,73,0,1,0,2,0
52,56,0,1,0,5,1
53,43,1,1,0,4,0
53,51,1,1,1,3,0
54,56,1,1,1,4,1
54,53,1,1,0,1,0
55,62,1,1,0,2,0
55,64,1,1,0,3,1
56,51,0,1,1,5,1
56,41,0,1,1,5,1
57,49,2,1,1,5,0
57,44,2,1,1,4,0
58,49,2,1,1,2,1
58,57,2,1,0,3,1
59,47,2,1,0,5,0
59,61,2,1,1,2,1
60,61,0,1,0,0,1
60,53,0,1,1,0,1
61,70,2,1,1,5,1
